supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],"Xinyi Guotai Huayi
Garment Co., LtdGTIG",1,1,Shao Dian Town,"Shao Dian Town,",0,Xinyi,China,Clothing,153,97%,3%,3%,Yes,"Main Production
Site",Shenzhen
[blank],"Hangzhou Linan Baisheng
Shoes Co Ltd",1,1,"Lingxi Village,
Banqiao Town,","Linan City,
Hangzhou,",0,China,China,Clothing,41,71%,29%,34%,Yes,"Main Production
Site",Shenzhen
[blank],"zaozhuang century
knitwear co.,ltd",1,1,shuiguo town,zaozhuang,shandong,zaozhuang,China,Clothing,86,80%,20%,1%,Yes,"Main Production
Site",Shenzhen
[blank],Liz Fashion industry Limited,1,1,"Bulding-
A,Holding- 1,Block-C","Shaheed
Mosharaf Hossain Road.","Purbo
Chandora, Sofipur",Gazipur,Bangladesh,Clothing,6853,90%,10%,0%,Yes,Main Production Site,[blank]
[blank],Liz Knitting & Printing Industry,1,1,"Bulding-
A,Holding- 1,Block-C","Shaheed
Mosharaf Hossain Road.","Purbo
Chandora, Sofipur",Gazipur,Bangladesh,Clothing,692,33%,67%,0%,Yes,Main Production Site,[blank]
"Aman
Graphics & Designs Ltd.",Aman Graphics & Designs Ltd.,1,1,Nazimnagar,Hemayetpur,Nazimnagar,Savar,Bangladesh,Clothing,4200,60%,40%,0%,Yes,Main Production Site,[blank]
[blank],"Sinoproud(Anhui) Garments Co., Ltd",1,1,"No.83, West Antarctic Road,","Ningguo Development
Zone,","Ningguo,",Xuancheng,China,Clothing,262,78%,22%,8%,No,Main Production Site,Shenzhen
[blank],"Best Trendy Corporation
Ltd",1,1,"No 401, Block A2","Longxin
Industrial Zone","Longgang
District",Shenzhen,China,Clothing,32,53%,47%,88%,No,"Main Production
Site",Shenzhen
[blank],"CB KINGTOP FASHION GARMENT CO.,LTD",1,1,"Phum Khva, Sangkat Dangkor","Phnom Penh, Cambodia",0,PhnomPenh,Cambodia,Clothing,817,82%,18%,0%,Yes,Main Production Site,[blank]
[blank],"Taizhou Zhongyu Shoes Co., Ltd",1,1,"No.63,
Nanshanzha Industrial","Discrict,Chengbe i Street,","Wenling
,TaiZhou,",Zhejiang,China,Clothing,168,86%,14%,77%,Yes,Main Production Site,Shenzhen
[blank],MNR Design Ltd.,1,1,"Baraiderchala,","Sreepur,","House 40 42,
Road 12, Nikunjo",Gazipur,Bangladesh,Clothing,1671,37%,63%,0%,Yes,Main Production Site,[blank]
[blank],Alok Industries Limited,1,1,"Made-up & Garments
Division,","Survey No- 374/2/2, Sayli,",0,Silvassa,India,Clothing,2374,53%,47%,30%,Yes,Main Production Site,[blank]
